首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,379,63,8,B - 右边单点,B - 左边长条中间、右边白球,1621241,72 - 0.3
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1621241,72 - 0.3
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,365,62,8,B - 左边单点、右边长条中间,B - 左边单点、右边单点,1621241,72 - 0.3
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,一爆,306,56,4,B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个,1621241,72 - 0.3
J,6,"Jar Of Love","曲婉婷",押爆,爆气,分开,二爆,380,63,14,B - 左边单点,B - 左边长条中间,1621241,72 - 0.3
B,6,"BONAMANA","Super Junior",非押爆,爆气,分开,一爆,255,66,0,B - 右边白球,B - 左边单点,1526642,70 + 0.0
B,6,"BONAMANA","Super Junior",非押爆,爆气,分开,二爆,309,74,20,B - 右边单点,B - 右边白球,1526642,70 + 0.0
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,一爆,255,66,0,B - 右边白球,B - 右边长条开始,1533537,71 + 0.3
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,二爆,308,74,16,B - 左边连点第 3 个,B - 右边白球,1533537,71 + 0.3
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,一爆,166,52,0,B - 左边白球,B - 左边白球,1531946,71 + 0.0
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,二爆,308,74,16,B - 左边连点第 3 个,B - 右边白球,1531946,71 + 0.0
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,一爆,255,65,28,B - 右边白球,B - 左边单点,1531946,71 + 0.0
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,二爆,308,74,16,B - 左边连点第 3 个,B - 右边白球,1531946,71 + 0.0
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,一爆,256,66,8,B - 右边单点,B - 右边长条中间,1529293,71 - 0.5
B,6,"BONAMANA","Super Junior",押爆,爆气,分开,二爆,308,74,16,B - 左边连点第 3 个,B - 右边白球,1529293,71 - 0.5
B,8,"Baby Boy","王心凌",非押爆,爆气,分开,一爆,445,66,16,B - 左边白球、右边白球,B - 右边白球,2255058,84 - 0.2
B,8,"Baby Boy","王心凌",非押爆,爆气,分开,二爆,699,91,16,B - 左边白球、右边白球,B - 左边白球,2255058,84 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,一爆,444,66,12,B - 左边单点,B - 右边白球,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,二爆,698,91,12,B - 左边单点,B - 左边白球,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,一爆,444,66,12,B - 左边单点,B - 右边白球,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,二爆,699,91,16,B - 左边白球、右边白球,B - 右边单点,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,一爆,445,66,16,B - 左边白球、右边白球,B - 左边单点,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,二爆,698,91,12,B - 左边单点,B - 左边白球,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,一爆,445,66,16,B - 左边白球、右边白球,B - 左边单点,2265666,86 - 0.2
B,8,"Baby Boy","王心凌",押爆,爆气,分开,二爆,699,91,16,B - 左边白球、右边白球,B - 右边单点,2265666,86 - 0.2
,,"动物森林","范玮琪",非押爆,爆气,分开,一爆,94,27,16,A - 右边滑键,A - 右边长条中间,968993,52 + 0.2
,,"动物森林","范玮琪",非押爆,爆气,分开,二爆,242,63,24,B - 右边单点,B - 右边长条中间,968993,52 + 0.2
,,"动物森林","范玮琪",非押爆,爆气,分开,一爆,94,27,16,A - 右边滑键,A - 右边长条中间,967933,52 + 0.0
,,"动物森林","范玮琪",非押爆,爆气,分开,二爆,241,63,16,B - 左边单点,B - 右边长条中间,967933,52 + 0.0
,,"动物森林","范玮琪",非押爆,爆气,分开,一爆,92,26,20,A - 右边白球,A - 右边白球,967801,52 + 0.1
,,"动物森林","范玮琪",非押爆,爆气,分开,二爆,242,63,24,B - 右边单点,B - 右边长条中间,967801,52 + 0.1
,,"动物森林","范玮琪",非押爆,爆气,存气,一爆,97,28,16,A - 左边白球,A - 左边单点,967536,52 - 0.2
,,"动物森林","范玮琪",非押爆,爆气,存气,二爆,239,63,0,B - 左边白球,B - 左边长条中间、右边长条中间,967536,52 - 0.2
,,"动物森林","范玮琪",非押爆,爆气,存气,一爆,97,28,16,A - 左边白球,A - 左边单点,967534,52 - 0.2
,,"动物森林","范玮琪",非押爆,爆气,存气,二爆,241,63,16,B - 左边单点,B - 右边长条中间,967534,52 - 0.2
,,"动物森林","范玮琪",非押爆,爆气,分开,一爆,94,27,14,A - 右边滑键,A - 右边长条中间,967402,52 - 0.1
