字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
L,8,"L.I.E","EXID",,,分开,244 + 465,A - 左下单点、右下单点^^^B - 左边右滑条开始,A - 右下长条中间^^^B - 左下单点,465,799,68 - 0.3,465,B - 左边右滑条开始,B - 左下单点,465,799,1485154,34 + 0.2
L,6,"恋爱循环","花泽香菜",,红色,分开,202 + 379、202 + 380、202 + 388、202 + 389,A - 左边长条开始^^^B - 右下单点,A - 左边滑点^^^B - 左下单点,302,560,67 + 0.4,379、380、388、389,B - 右下单点,B - 左下单点,302,560,1131937,34 - 0.3
,,"微微一笑很倾城","杨洋",,,分开,454 + 539,B - 右下单点^^^B - 左下单点,B - 左边单点、右边单点^^^B - 左边单点、右边单点,345,677,65 + 0.4,454、539,B - 右下单点,B - 左边单点、右边单点,345,677,1299508,33 - 0.3
B,9,"Butter Fly","和田光司",,,分开,515 + 1116,A - 右下单点^^^B - 右边滑点,A - 左边右滑条结尾、右下单点^^^B - 左边长条中间、右下右滑条中间,614,1256,83 - 0.3,507、515,A - 右边长条结尾、左边滑点,A - 右边长条中间、左边左滑条右拐,614,1256,2211857,42 - 0.1
,,"第一次爱的人","王心凌",,红色,分开,58 + 196,A - 右下单点^^^B - 左边单点,A - 左边长条结尾^^^B - 右下滑点,196,374,60 - 0.4,58,A - 右下单点,A - 左边长条结尾,196,374,822100,33 - 0.3
,,"我们不该这样的","张赫宣",,红色,存气,170 + 324、170 + 326、171 + 324、172 + 324,A - 左下单点^^^B - 左下单点、右下单点,A - 左边单点、右边单点^^^B - 左下单点、右下单点,184,470,71 - 0.1,382、383,B - 右下单点,B - 右下单点,184,470,1022983,37 + 0.4
J,8,"Just Like Fire","P!nk",,,分开,225 + 326、225 + 623、225 + 724、326 + 623、326 + 724、623 + 724,A - 左边单点^^^A - 右边单点,A - 左边单点、右边单点^^^A - 左边单点、右边单点,410,924,75 + 0.0,225、326、623、724,A - 左边单点,A - 左边单点、右边单点,410,924,1801860,38 - 0.5
G,9,"Gee","少女时代",,,存气,584 + 1141,A - 右下滑点^^^B - 左边长条中间,A - 左边单点^^^B - 左边滑点、右边单点,657,1264,81 - 0.5,1160,B - 左下滑点、右边长条开始,B - 左边滑点、右边单点,657,1264,2004554,43 - 0.2
,,"剩下的盛夏","TFBOYS",,红色,分开,313 + 406,B - 左边单点、右边单点^^^B - 右边单点,B - 右下单点^^^B - 右边长条结尾,288,529,66 - 0.5,344,B - 左下单点、右边单点,B - 左边单点、右下单点,288,529,978930,35 - 0.5
,,"给我一个理由忘记","A-Lin",,红色,分开,164 + 445、164 + 446,A - 左边长条中间、右下单点^^^B - 左下长条结尾,A - 左边单点、右边单点^^^B - 左边右滑条结尾、右边长条结尾,315,850,72 + 0.1,445、446,B - 左下长条结尾,B - 左边右滑条结尾、右边长条结尾,315,850,1278230,37 - 0.1
L,7,"Love So Soft","Kelly Clarkson",,,分开,493 + 687、494 + 687,B - 右边长条中间^^^B - 左下长条开始、右下单点,B - 左边滑点^^^B - 左边单点、右边单点,417,925,77 - 0.3,687,B - 左下长条开始、右下单点,B - 左边单点、右边单点,417,925,1649051,39 + 0.4
,,"Baby","Justin Bieber",,红色,分开,242 + 537,A - 左下滑点^^^B - 右边滑点,A - 左下滑点^^^B - 右下滑点,355,746,69 - 0.2,537,B - 右边滑点,B - 右下滑点,355,746,1220921,35 + 0.0
