字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
C,10,"Crossing Field","LiSA",,,分开,130 + 456、130 + 1123,A - 左下单点、右边单点^^^A - 左边单点、右边单点,A - 左边单点、右边单点^^^A - 右边左滑条结尾、左边单点,597,1351,107 - 0.4,130,A - 左下单点、右边单点,A - 左边单点、右边单点,597,1351,2829690,54 - 0.4
*,9,"123我爱你(困难版)","新乐尘符",,,分开,278 + 443、278 + 981、443 + 981,A - 右下单点^^^A - 右边单点,A - 左边滑点、中间滑点^^^A - 中间滑点、右边滑点,719,1396,107 - 0.2,278、443、981,A - 右下单点,A - 左边滑点、中间滑点,719,1396,2389886,53 + 0.4
J,6,"芥末巧克力","杨丞琳",,红色,分开,107 + 354、107 + 355、107 + 356、108 + 354、108 + 355、108 + 356、109 + 354、109 + 355、109 + 356,A - 左下单点^^^B - 右下单点,A - 左下单点^^^B - 右下单点,209,525,68 + 0.4,107、108、109、354、355、356,A - 左下单点,A - 左下单点,209,525,1129786,34 + 0.2
,,"不朽之罪","双笙/玄觞",,红色,分开,279 + 366,B - 右下单点^^^B - 右下单点,B - 右边单点^^^B - 右边单点,158,455,58 + 0.4,366,B - 右下单点,B - 右边单点,158,455,853556,30 - 0.5
,,"大碗宽面","吴亦凡",,红色,分开,99 + 347,A - 右边长条开始^^^B - 左下滑点,A - 左边单点^^^B - 右下单点,222,495,71 + 0.1,347,B - 左下滑点,B - 右下单点,222,495,865617,37 - 0.3
,,"凉凉","杨宗纬/张碧晨",,红色,分开,252 + 435,B - 左边单点^^^B - 左下滑点,B - 右下单点^^^B - 左边右滑条开始,213,541,59 + 0.4,435,B - 左下滑点,B - 左边右滑条开始,213,541,900693,30 - 0.2
W,9,"Whistle(困难版)","Flo Rida",50,,分开,398 + 559、399 + 559、400 + 559,A - 左下单点^^^A - 左下左滑条中间、右边单点,A - 左边单点^^^A - 左边单点,659,1469,79 + 0.4,559,A - 左下左滑条中间、右边单点,A - 左边单点,659,1469,2646015,41 + 0.2
B,9,"Bright Burning Shout","T.M.Revolution",,,分开,403 + 1271,A - 右下单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,789,1599,80 + 0.2,403、1271,A - 右下单点,A - 右边单点,789,1599,2434136,40 + 0.1
N,7,"牛奶面包","杨紫/鱿小鱼",,红色,分开,202 + 468,A - 右边滑点^^^B - 左边长条开始、右边长条开始,A - 左下单点^^^B - 左边单点,414,698,78 - 0.3,468,B - 左边长条开始、右边长条开始,B - 左边单点,414,698,1320908,39 + 0.0
,,"无名之辈","陈雪燃",,红色,分开,95 + 347,A - 右边滑点^^^B - 右边长条开始,A - 右边长条开始^^^B - 右边长条开始,191,466,70 + 0.0,347,B - 右边长条开始,B - 右边长条开始,191,466,901783,36 - 0.5
R,7,"仁心所向","河图",,,分开,412 + 899,A - 右下单点^^^B - 左边单点、右边单点,A - 左下长条结尾、右边单点^^^B - 右下右滑条结尾、左边单点,685,1168,79 + 0.0,899,B - 左边单点、右边单点,B - 右下右滑条结尾、左边单点,685,1168,1858268,40 + 0.0
,,"淘汰","陈奕迅",,红色,分开,249 + 470、249 + 472、249 + 473、249 + 470、249 + 472、249 + 473,B - 右边单点^^^B - 右下长条中间,B - 左边左滑条结尾^^^B - 右下长条中间、左下单点,229,566,56 - 0.1,249,B - 右边单点,B - 左边左滑条结尾,229,566,888671,28 + 0.3
V,10,"Victory(困难版)","Bond",,,分开,178 + 1401、856 + 1401,A - 左下单点、右下单点^^^B - 左下单点、右下单点,A - 右边长条开始^^^B - 右边单点,796,1460,110 - 0.5,1401,B - 左下单点、右下单点,B - 右边单点,796,1460,3406632,59 + 0.0
H,8,"好想大声说喜欢你","BAAD",,,分开,235 + 718、248 + 718,A - 左边右滑条结尾、右下长条开始^^^B - 左边单点,A - 右边单点^^^B - 左下滑点,462,1096,85 - 0.3,235、248,A - 左边右滑条结尾、右下长条开始,A - 右边单点,462,1096,1882264,44 - 0.5
L,6,"LOVE IT LIVE IT","YDPP",,,分开,392 + 657,B - 左边长条结尾、右下滑点^^^B - 右边长条中间,B - 左边单点^^^B - 左边单点,326,744,67 + 0.2,392,B - 左边长条结尾、右下滑点,B - 左边单点,326,744,1361813,36 - 0.5
*,9,"デートアライブ","sweet ARMS",,,分开,595 + 1277,A - 左边单点^^^B - 右边单点,A - 左边长条结尾、右下长条结尾^^^B - 左边长条结尾、右边长条结尾,736,1416,78 - 0.2,595、1277,A - 左边单点,A - 左边长条结尾、右下长条结尾,736,1416,2078442,39 - 0.1
B,6,"白骑士","QQ炫舞原创",,,分开,237 + 554,A - 右边单点^^^B - 左下单点、右下单点,A - 左边长条结尾、右下右滑条开始^^^B - 左边单点,382,770,68 - 0.1,554,B - 左下单点、右下单点,B - 左边单点,382,770,1313741,34 + 0.4
G,9,"更新","Sabão",,,存气,475 + 956、475 + 958、476 + 955、476 + 957、477 + 954、477 + 956、478 + 955、479 + 954,A - 右下单点^^^B - 左边单点,A - 左边单点、右边单点^^^B - 左边长条结尾、右边长条结尾,533,1207,79 - 0.3,962,B - 左下单点,B - 左边长条结尾、右边长条结尾,533,1207,2291729,40 - 0.2
,,"朝代","排骨教主",,红色,分开,215 + 451,A - 右下滑点^^^B - 左下滑点,A - 右边长条结尾^^^B - 左边长条结尾,307,656,69 - 0.2,215、451,A - 右下滑点,A - 右边长条结尾,307,656,1078421,34 + 0.4
,,"素颜","许嵩/何曼婷",,红色,分开,61 + 116,A - 左边单点^^^B - 右下单点,A - 左边滑点^^^B - 右下单点,98,231,54 + 0.4,116,B - 右下单点,B - 右下单点,98,231,571889,28 - 0.5
,,"可以了","陈奕迅",100,红色,分开,324 + 527,A - 右边长条中间^^^B - 右下单点,A - 右下右滑条结尾、左边滑点^^^B - 左下单点、右下单点,406,721,65 + 0.3,324,A - 右边长条中间,A - 右下右滑条结尾、左边滑点,406,721,1190774,33 + 0.2
J,7,"就是你","范玮琪",,,分开,431 + 542,B - 右下单点^^^B - 左边单点、右边单点,B - 右边长条中间^^^B - 左边长条结尾、右边右滑条左拐,392,897,70 - 0.1,542,B - 左边单点、右边单点,B - 左边长条结尾、右边右滑条左拐,392,897,1387513,36 - 0.5
Z,9,"直到世界终结(困难版)","WANDS",20,,分开,1203 + 1306,B - 左边滑点^^^B - 左边长条结尾、右下单点,B - 右边单点^^^B - 左下单点,585,1575,85 - 0.4,1232,B - 左边右滑条开始、右边长条开始,B - 右边左滑条结尾、左下单点,585,1575,2364021,43 - 0.4
,,"芒种","音阙诗听/赵方婧",,红色,分开,27 + 345,A - 左边单点^^^B - 左边单点、右下单点,A - 左边滑点^^^B - 左边单点,249,451,80 + 0.0,345,B - 左边单点、右下单点,B - 左边单点,249,451,1050886,42 + 0.2
,,"耿耿于怀","王笑文",,,分开,287 + 638、288 + 638、289 + 638,A - 右下单点^^^B - 左下单点,A - 左边右滑条结尾^^^B - 左边右滑条中间,348,758,58 + 0.0,638,B - 左下单点,B - 左边右滑条中间,348,758,1313664,30 - 0.2
,,"没有你的冬季","阿云嘎",,,分开,302 + 607,A - 左边单点^^^B - 右边单点,A - 左下左滑条中间^^^B - 右下右滑条中间,421,801,70 - 0.2,302、607,A - 左边单点,A - 左下左滑条中间,421,801,1365311,35 - 0.1
Y,6,"原点","徐梦圆",,,分开,251 + 895,A - 左边单点^^^B - 左下长条开始,A - 左边右滑条开始、右下滑点^^^B - 左边单点、右下滑点,570,1254,86 - 0.3,895,B - 左下长条开始,B - 左边单点、右下滑点,570,1254,1739269,46 - 0.3
M,8,"觅","王喆",,,分开,552 + 882、552 + 884,B - 左边滑点^^^B - 右下单点,B - 左边单点、右边单点^^^B - 中间单点,413,933,71 + 0.4,882、884,B - 右下单点,B - 中间单点,413,933,1927382,37 + 0.3
I,6,"I'm OK","小青龙",,红色,分开,235 + 670、237 + 670、238 + 670、239 + 670,A - 右边单点^^^B - 右边单点,A - 左边单点^^^B - 左边长条中间,323,793,73 + 0.1,235、237、238、239,A - 右边单点,A - 左边单点,323,793,1428916,38 - 0.2
,,"Flamingo","米津玄師",,红色,分开,210 + 486,A - 左下长条开始、右下右滑条开始^^^B - 左下左滑条开始、右下长条开始,A - 左边单点^^^B - 右边单点,329,699,59 - 0.4,210、486,A - 左下长条开始、右下右滑条开始,A - 左边单点,329,699,1058465,29 + 0.3
,,"Loki","BC221",,红色,分开,117 + 320,A - 左边滑点^^^B - 右边滑点,A - 右下单点^^^B - 左下单点,255,482,52 + 0.0,117、320,A - 左边滑点,A - 右下单点,255,482,953339,26 + 0.0
C,9,"Candy Boy","TWICE",,,分开,1006 + 1240,B - 左边滑点^^^B - 左边长条开始,B - 左下单点、右边单点^^^B - 右边左滑条结尾、左下左滑条中间,516,1352,75 - 0.4,1006,B - 左边滑点,B - 左下单点、右边单点,516,1352,2051458,38 - 0.5
,,"Play It Cool","Steve Aoki/MONSTA X",,红色,分开,142 + 273、144 + 273、145 + 273、146 + 273,A - 左边单点、右边单点^^^B - 左下单点,A - 左边滑点^^^B - 左下单点,250,502,60 + 0.1,142、144、145、146,A - 左边单点、右边单点,A - 左边滑点,250,502,1035660,30 + 0.1
,,"漫时光","QQ炫舞",,,分开,245 + 490,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 右边单点,414,683,63 + 0.2,245、490,A - 左下单点,A - 左边单点,414,683,1329689,32 - 0.4
F,10,"Fanfare","Sumika",,,分开,1001 + 1082,B - 右边单点^^^B - 右下单点,B - 右边单点^^^B - 左下单点、右边单点,981,2094,84 - 0.1,1078,B - 左下滑点,B - 左下单点、右边单点,981,2094,2983741,44 - 0.3
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,,分开,185 + 455,A - 右边单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,292,602,59 - 0.2,185、455,A - 右边单点,A - 右边单点,292,602,1150364,29 + 0.4
,,"ME!","Taylor Swift/Brendon Urie",,红色,分开,70 + 218,A - 右边单点^^^B - 左边单点,A - 右边长条结尾^^^B - 左边长条结尾,170,380,59 + 0.2,218,B - 左边单点,B - 左边长条结尾,170,380,739658,30 - 0.4
C,7,"Close To Me","Ellie Goulding/Diplo/Red Velvet",,,分开,431 + 620、431 + 621,B - 右边单点^^^B - 右边长条结尾,B - 左下单点^^^B - 左边单点、右下单点,401,861,68 - 0.5,620、621,B - 右边长条结尾,B - 左边单点、右下单点,401,861,1412421,34 - 0.2
,,"Too Much","Carly Rae Jepsen",,红色,存气,146 + 341、162 + 325,A - 左边单点^^^B - 右边单点,A - 右下单点^^^B - 右边单点,187,403,60 - 0.4,291,B - 右边滑点,B - 左边单点,187,403,760946,30 - 0.3
X,7,"幸福症候群","nanawoakari",,,分开,196 + 304、196 + 483、196 + 591、304 + 483、304 + 591、483 + 591,A - 左边长条开始、右下单点^^^A - 左下单点、右边长条开始,A - 右边单点^^^A - 左边单点,413,986,71 + 0.4,196、304、483、591,A - 左边长条开始、右下单点,A - 右边单点,413,986,1554476,36 - 0.3
F,8,"Fight For You","潘玮柏",,,分开,382 + 446、384 + 446、385 + 446,A - 左边左滑条结尾、右边单点^^^A - 左边单点、右边单点,A - 右下单点^^^A - 左边单点、右边单点,501,1022,77 - 0.4,391,A - 右边单点,A - 左边单点、右边单点,501,1022,1849566,40 - 0.4
L,7,"旅行的爱情","Samuel",100,红色,分开,464 + 688,B - 左边长条开始、右边单点^^^B - 左边单点,B - 左下左滑条结尾、右下单点^^^B - 右下右滑条结尾、左下单点,408,863,76 - 0.3,464,B - 左边长条开始、右边单点,B - 左下左滑条结尾、右下单点,408,863,1398838,38 + 0.1
*,9,"プライド革命","CHiCO with HoneyWorks",,,分开,498 + 1204,A - 左边右滑条开始、右下长条开始^^^B - 左下长条开始、右边左滑条开始,A - 左下单点、右下单点^^^B - 左下单点、右下单点,679,1393,77 + 0.0,498、1204,A - 左边右滑条开始、右下长条开始,A - 左下单点、右下单点,679,1393,2175932,39 - 0.5
D,6,"豆你玩","李子璇",,红色,分开,312 + 405、313 + 405,B - 左边单点^^^B - 右边单点,B - 左边单点^^^B - 右下单点,286,564,77 + 0.2,312、313,B - 左边单点,B - 左边单点,286,564,1119218,39 - 0.4
,,"For You","高颖浠",,红色,分开,223 + 390,A - 右下单点^^^B - 左边单点,A - 右下单点^^^B - 左边长条中间、右边滑点,278,616,70 + 0.0,390,B - 左边单点,B - 左边长条中间、右边滑点,278,616,1038733,36 + 0.3
B,6,"Boys","Charli XCX",,红色,分开,254 + 765,A - 左边单点、右边单点^^^B - 左边滑点,A - 右下滑点^^^B - 右边滑点,441,875,76 - 0.4,765,B - 左边滑点,B - 右边滑点,441,875,1478828,42 + 0.3
,,"我们是太阳","筷子兄弟",,红色,分开,334 + 612,B - 右下单点^^^B - 左边滑点,B - 左下长条中间^^^B - 左边长条结尾,329,688,52 - 0.1,612,B - 左边滑点,B - 左边长条结尾,329,688,997019,29 + 0.0
,,"滚烫的青春","王源",,红色,分开,126 + 251、127 + 251,A - 左下单点^^^B - 右边单点,A - 左下滑点^^^B - 左边长条结尾,207,455,57 - 0.4,251,B - 右边单点,B - 左边长条结尾,207,455,760180,30 - 0.4
E,8,"E.T.","Katy Perry",,,分开,272 + 504、272 + 506、272 + 556、273 + 504、273 + 506、273 + 556、279 + 504、279 + 506、279 + 556、281 + 504,A - 左边单点^^^B - 左边单点,A - 左下单点^^^B - 左边单点,432,961,68 - 0.5,504、506、556,B - 左边单点,B - 左边单点,432,961,1594355,34 + 0.0
C,9,"长安诀","汪苏泷",,,分开,160 + 825,A - 左边滑点、右下滑点^^^B - 左下滑点、右边滑点,A - 左边长条中间、中间长条中间^^^B - 中间长条中间、右边长条中间,557,1304,90 - 0.4,160、825,A - 左边滑点、右下滑点,A - 左边长条中间、中间长条中间,557,1304,2075939,45 - 0.2
,,"Girl in the Mirror","Bebe Rexha",,红色,分开,323 + 474,B - 左边单点^^^B - 左边单点、右边单点,B - 左下滑点^^^B - 右边左滑条结尾,306,614,62 - 0.4,323,B - 左边单点,B - 左下滑点,306,614,1034459,31 + 0.3
,,"观花","萌娜丽莎/郑冰冰",,红色,分开,206 + 482、232 + 482,A - 左边左滑条开始、右边单点^^^B - 左边单点、右边右滑条开始,A - 右边单点^^^B - 右边左滑条开始,314,652,63 + 0.4,482,B - 左边单点、右边右滑条开始,B - 右边左滑条开始,314,652,1082448,32 - 0.3
,,"Bon Bon(给他一击)","强东玥",,,分开,200 + 429,A - 右边单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,315,625,53 + 0.2,200、429,A - 右边单点,A - 右边单点,315,625,1071808,27 - 0.4
U,9,"UNION","OxT",,,分开,258 + 753、258 + 769、258 + 771、274 + 753、274 + 769、274 + 771、274 + 753、274 + 769、274 + 771、274 + 753,A - 左下单点^^^B - 右下单点,A - 右下滑点^^^B - 左下滑点,508,1021,83 + 0.4,258、274、276、753、769、771,A - 左下单点,A - 右下滑点,508,1021,1986595,42 - 0.3
G,8,"孤注一掷的舞者","DOES",100,,分开,305 + 767、305 + 768、305 + 769、305 + 768、305 + 769、305 + 768、305 + 769、305 + 768、305 + 769、305 + 768,A - 左边单点、右边单点^^^B - 右边单点,A - 左边单点^^^B - 左下单点,533,1042,82 + 0.1,767、768、769,B - 右边单点,B - 左下单点,533,1042,1776333,43 + 0.1
M,7,"Magic Dream","APPRIL",,,分开,291 + 606,A - 左下单点^^^B - 右边长条开始,A - 右边长条开始^^^B - 右边单点,512,927,74 - 0.5,606,B - 右边长条开始,B - 右边单点,512,927,1569535,37 + 0.0
,,"两人份美好","李俊毅",,红色,分开,250 + 389,B - 左边右滑条开始、右边长条开始^^^B - 右边单点,B - 左边单点^^^B - 右下长条开始,250,602,62 - 0.2,250,B - 左边右滑条开始、右边长条开始,B - 左边单点,250,602,1006614,31 + 0.3
,,"是我","张韶涵",,红色,分开,334 + 683,A - 左下左滑条中间^^^B - 左下滑点,A - 右下单点^^^B - 左边长条中间,495,1035,76 + 0.2,683,B - 左下滑点,B - 左边长条中间,495,1035,1405246,40 - 0.5
,,"青春大满贯","胡夏",,红色,分开,158 + 527,A - 左边滑点^^^B - 右边滑点,A - 左下滑点^^^B - 右下滑点,447,775,63 + 0.4,158、527,A - 左边滑点,A - 左下滑点,447,775,1188163,32 - 0.3
V,9,"VORACITY","MYTH & ROID",,,分开,518 + 1064、518 + 1430、1064 + 1430,A - 左边滑点、右下滑点^^^B - 左下滑点、右边滑点,A - 左下长条结尾、右边长条结尾^^^B - 左边长条结尾、右下长条结尾,738,1650,82 + 0.2,518、1064、1430,A - 左边滑点、右下滑点,A - 左下长条结尾、右边长条结尾,738,1650,2538274,41 + 0.1
G,8,"工笔","Awaken-F",,,分开,168 + 633,A - 左下左滑条结尾、右下单点^^^B - 右下右滑条结尾、左下单点,A - 右下滑点^^^B - 左下滑点,377,842,72 + 0.0,168、633,A - 左下左滑条结尾、右下单点,A - 右下滑点,377,842,1733043,36 + 0.0
,,"漫过","吴映香",,红色,存气,271 + 503,A - 右边左滑条开始^^^B - 左边单点、右边单点,A - 左下单点^^^B - 右边单点,325,645,66 - 0.4,242,A - 左边单点,A - 右下单点,325,645,1104169,32 - 0.3
S,9,"Shiny","高颖浠",,,分开,294 + 627、627 + 928,A - 左边单点、右边滑点^^^A - 左下单点,A - 左边单点、右边单点^^^A - 左边滑点、右边滑点,749,1370,105 + 0.4,627,A - 左下单点,A - 左边滑点、右边滑点,749,1370,2571902,62 + 0.1
,,"胡萝卜须","许嵩",,红色,分开,149 + 275、149 + 281,A - 右边滑点^^^A - 右边单点,A - 右边长条开始^^^A - 左边单点,379,823,79 - 0.4,149,A - 右边滑点,A - 右边长条开始,379,823,1424978,42 + 0.1
M,8,"马上上马","庄园",,,分开,382 + 737,A - 右边单点^^^B - 左边单点,A - 右边单点^^^B - 左边单点,509,911,79 - 0.2,382、737,A - 右边单点,A - 右边单点,509,911,1728580,39 + 0.4
,,"爱在我身边","吴映洁",,红色,分开,96 + 247,A - 右边单点^^^B - 左边单点,A - 右边长条中间^^^B - 左边长条中间,163,359,58 - 0.4,247,B - 左边单点,B - 左边长条中间,163,359,685015,29 - 0.2
X,8,"響喜乱舞","GARNiDELiA",,,分开,179 + 586、179 + 587、179 + 589、179 + 622、179 + 623、179 + 625、180 + 586、180 + 587、180 + 589、180 + 622,A - 右边单点^^^B - 左边单点,A - 左下单点、右边单点^^^B - 左边单点、右下单点,467,873,74 - 0.2,179、180、182、215、216、218、586、587、589、622,A - 右边单点,A - 左下单点、右边单点,467,873,1899907,37 - 0.1
,,"Badass Woman","Meghan Trainor",,红色,分开,179 + 367、179 + 375、187 + 367、187 + 375,A - 右下单点^^^B - 左下单点,A - 左下单点^^^B - 右下单点,250,533,50 + 0.0,179、187、367、375,A - 右下单点,A - 左下单点,250,533,794574,25 + 0.0
,,"如果当时","胡夏",,红色,分开,319 + 520,B - 右下单点^^^B - 左边滑点、右边滑点,B - 左边单点^^^B - 右边左滑条开始,319,697,72 + 0.4,520,B - 左边滑点、右边滑点,B - 右边左滑条开始,319,697,1172968,40 + 0.2
Z,6,"最苦的甜","胡夏",,红色,分开,184 + 518,A - 右下单点^^^B - 左下单点,A - 右下单点^^^B - 左下单点,294,644,59 - 0.2,518,B - 左下单点,B - 左下单点,294,644,1146152,30 + 0.3
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,分开,431 + 620、433 + 620,B - 右下单点^^^B - 右边单点,B - 左边单点、右下单点^^^B - 左边单点、右下单点,358,946,83 - 0.4,620,B - 右边单点,B - 左边单点、右下单点,358,946,2007595,41 + 0.4
,,"HERO","李子璇",,红色,分开,362 + 490,B - 左边滑点^^^B - 右边单点,B - 左边单点、右下滑点^^^B - 右下单点,268,587,77 - 0.2,362,B - 左边滑点,B - 左边单点、右下滑点,268,587,1156314,41 + 0.3
N,6,"那时正好","赵政豪",,,分开,301 + 709,B - 左边长条开始、右下长条开始^^^B - 左下单点,B - 左下长条开始、右边单点^^^B - 右边单点,301,867,62 + 0.1,301,B - 左边长条开始、右下长条开始,B - 左下长条开始、右边单点,301,867,1338192,32 + 0.1
,,"我的名字","焦迈奇",,红色,分开,237 + 567、237 + 568、238 + 567、238 + 568、239 + 567、239 + 568,A - 右下单点^^^B - 左下单点,A - 右边单点^^^B - 左边单点,385,715,69 + 0.0,237、238,A - 右下单点,A - 右边单点,385,715,1273735,36 - 0.5
,,"最好的天气","郭采洁",,红色,分开,389 + 465、389 + 466、389 + 467、389 + 465、389 + 466、389 + 467、389 + 465、389 + 466、389 + 467、389 + 465,B - 右下单点^^^B - 左下单点,B - 左边单点^^^B - 右边单点,221,553,53 + 0.0,389、390、465、466、467,B - 右下单点,B - 左边单点,221,553,989196,27 - 0.5
Z,8,"仲夏","王北车",50,,分开,430 + 991,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边右滑条结尾、右边长条结尾^^^B - 右边左滑条结尾、左边长条结尾,568,1337,79 + 0.0,424、430、985、991,A - 左边滑点、右边滑点,A - 左边左滑条右拐、右边长条开始,568,1337,2181503,40 - 0.5
A,8,"爱情的花样","孙燕姿",,,分开,242 + 626,A - 右边长条结尾、左边滑点^^^B - 左边长条结尾、右边滑点,A - 左下单点、右边单点^^^B - 左边单点、右下单点,374,758,79 + 0.4,242、626,A - 右边长条结尾、左边滑点,A - 左下单点、右边单点,374,758,1605733,40 - 0.3
R,8,"Rookie","Red Velvet",,,分开,98 + 163、98 + 643,A - 左边单点^^^A - 左下左滑条中间,A - 左边单点、右下单点^^^A - 右下滑点,368,923,72 - 0.5,98,A - 左边单点,A - 左边单点、右下单点,368,923,1709658,36 + 0.1
C,7,"宠坏","李俊佑/小潘潘",,,分开,250 + 343、250 + 344、250 + 617、250 + 618、250 + 710、250 + 711、251 + 343、251 + 344、251 + 617、251 + 618,A - 左边单点^^^A - 右边单点,A - 右下单点^^^A - 左下单点,436,803,67 + 0.2,250、251、343、344、617、618、710、711,A - 左边单点,A - 右下单点,436,803,1507593,34 - 0.4
,,"Señorita","Shawn Mendes/Camila Cabello",,红色,分开,200 + 275、201 + 275、202 + 275,B - 左边单点^^^B - 右下单点,B - 右下滑点^^^B - 左边单点,199,514,54 - 0.5,275,B - 右下单点,B - 左边单点,199,514,875997,27 - 0.2
,,"藏不住的心跳","朱主爱",,红色,分开,214 + 314,A - 左边单点^^^B - 左下长条中间,A - 右边单点^^^B - 左下滑点,282,545,67 - 0.3,214,A - 左边单点,A - 右边单点,282,545,997832,34 + 0.3
W,6,"When You Know What Love Is","Craig David",,红色,分开,156 + 465,A - 左下滑点^^^B - 右下滑点,A - 中间单点^^^B - 中间单点,347,656,68 + 0.2,156、465,A - 左下滑点,A - 中间单点,347,656,1123685,34 + 0.1
L,7,"凉凉(困难版)","杨宗纬/张碧晨",,,分开,583 + 891、583 + 893、585 + 891、585 + 893,A - 左下左滑条结尾、右边滑点^^^A - 右下右滑条结尾、左边滑点,A - 右下滑点^^^A - 左下滑点,1007,1857,91 - 0.2,583、585、891、893,A - 左下左滑条结尾、右边滑点,A - 右下滑点,1007,1857,2653285,45 + 0.4
Q,7,"倾杯","SING女团",,红色,分开,379 + 762,A - 右边滑点^^^B - 左边单点、右边单点,A - 右下单点^^^B - 右边单点,452,870,78 + 0.0,762,B - 左边单点、右边单点,B - 右边单点,452,870,1469452,41 - 0.1
,,"狂风里拥抱","信/A-Lin",,红色,分开,607 + 832,B - 左边单点^^^B - 左边单点、右边单点,B - 右边单点^^^B - 左边右滑条中间、右边左滑条中间,485,1048,96 - 0.2,607,B - 左边单点,B - 右边单点,485,1048,1668636,48 + 0.0
G,7,"灌溉爱","郭采洁",,,分开,328 + 730,A - 左边单点^^^B - 右边单点,A - 右边左滑条中间^^^B - 左边右滑条中间,465,863,70 + 0.4,328、730,A - 左边单点,A - 右边左滑条中间,465,863,1362470,35 + 0.2
,,"带我走","杨丞琳",,红色,分开,147 + 633,A - 左边单点、右下单点^^^B - 左下单点、右边单点,A - 左边长条结尾、右边长条结尾^^^B - 左边长条结尾、右边长条结尾,434,903,82 + 0.4,147、633,A - 左边单点、右下单点,A - 左边长条结尾、右边长条结尾,434,903,1372540,41 + 0.2
F,8,"Faded(困难版)","Alan Walker",,,分开,197 + 968,A - 左边右滑条开始、右边左滑条开始^^^B - 左下左滑条开始、右边左滑条开始,A - 左边左滑条右拐、右下左滑条右拐^^^B - 右下左滑条右拐、左边单点,850,1640,83 - 0.2,197,A - 左边右滑条开始、右边左滑条开始,A - 左边左滑条右拐、右下左滑条右拐,850,1640,2409459,42 + 0.3
,,"Carry on","Monsta X",,红色,分开,104 + 354,A - 右下单点^^^B - 右边单点,A - 左边左滑条开始^^^B - 右边滑点,256,496,59 - 0.4,354,B - 右边单点,B - 右边滑点,256,496,897272,30 - 0.2
Z,9,"钻石微笑","Run Girls, Run！",,,分开,362 + 597、362 + 599,A - 左边单点、右边单点^^^A - 左边长条结尾、右边单点,A - 左边单点、右边单点^^^A - 右边左滑条结尾、左边单点,717,1424,90 - 0.4,597、599,A - 左边长条结尾、右边单点,A - 右边左滑条结尾、左边单点,717,1424,2523692,47 + 0.0
,,"德寿宫石墙路的春天","允儿/10cm",,红色,分开,139 + 347,A - 左下单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点、右下单点^^^B - 左下单点,282,497,63 + 0.1,347,B - 左边单点、右边单点,B - 左下单点,282,497,884928,32 - 0.3
,,"超大只怪兽","焦迈奇",,红色,分开,140 + 371,A - 左边单点、右边单点^^^B - 左下左滑条中间,A - 左边单点、右边单点^^^B - 左边滑点,230,431,59 + 0.3,140,A - 左边单点、右边单点,A - 左边单点、右边单点,230,431,768266,32 - 0.4
K,6,"Kids in the Dark","All Time Low",,,分开,205 + 531,A - 左下单点^^^B - 右下单点,A - 右下单点^^^B - 左下单点,346,713,62 + 0.4,205、531,A - 左下单点,A - 右下单点,346,713,1284094,31 + 0.2
,,"盲眼画师","河图",,红色,分开,417 + 851,A - 左边长条开始、右边长条开始^^^B - 左边长条开始、右边长条开始,A - 左边长条结尾、右边长条结尾^^^B - 左边长条结尾、右边长条结尾,581,1015,84 + 0.4,417、851,A - 左边长条开始、右边长条开始,A - 左边长条结尾、右边长条结尾,581,1015,1574723,42 + 0.2
,,"Don't Need Your Love","NCT DREAM/HRVY",,红色,分开,108 + 373,A - 左下滑点^^^B - 右下滑点,A - 左边滑点^^^B - 右边滑点,320,614,59 - 0.4,108、373,A - 左下滑点,A - 左边滑点,320,614,1079011,29 + 0.3
,,"I like you(炫舞音乐季主题曲)","孟美岐",100,,分开,35 + 398,A - 左边单点^^^A - 右下右滑条中间、左边单点,A - 左边单点^^^A - 左边单点、右边滑点,472,1005,87 - 0.2,398,A - 右下右滑条中间、左边单点,A - 左边单点、右边滑点,472,1005,1799102,43 - 0.2
F,9,"flower of sorrow","花たん",,,分开,329 + 922、329 + 923、330 + 922、330 + 923,A - 右边单点^^^B - 左边单点,A - 左边长条结尾、右下单点^^^B - 右边长条结尾、左下单点,577,1239,85 - 0.4,329、330、922、923,A - 右边单点,A - 左边长条结尾、右下单点,577,1239,2151008,42 + 0.3
C,9,"courage","戸松遥",,,存气,634 + 1140,A - 左下单点、右边单点^^^B - 左下滑点,A - 左边右滑条结尾、右边单点^^^B - 左边长条结尾、右边长条结尾,676,1419,71 - 0.5,1140,B - 左下滑点,B - 左边滑点,676,1419,2043553,36 - 0.2
H,6,"好想告诉你","谷泽智文",,红色,分开,166 + 481,A - 右下单点^^^B - 左下单点,A - 左边单点、右边单点^^^B - 左边单点、右边单点,319,746,70 + 0.0,481,B - 左下单点,B - 左边单点、右边单点,319,746,1327802,36 - 0.5
