首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,412,64,12,B - 三轨单点（cool）、四轨单点,B - 三轨单点、四轨单点（cool）,1299793,39 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,413,64,15,B - 四轨单点（cool）、一轨单点,B - 四轨单点,1299673,38 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,413,64,16,B - 四轨单点（cool）、一轨单点,B - 四轨单点,1299673,38 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,403,63,15,B - 一轨长条开始,B - 二轨单点,1299553,37 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,407,63,23,B - 一轨长条结尾、三轨单点,B - 一轨单点、一轨单点（cool）,1298613,37 + 0.3
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,409,63,31,B - 一轨单点,B - 一轨长条开始,1298493,36 + 0.3
B,6,"Bo Peep Bo Peep","T-ara",超极限,爆气,404,63,17,B - 一轨长条中间,B - 二轨单点,1297962,36 + 0.2
,,"萤火","TFBOYS",非押爆,爆气,150,28,4,A - 一轨长条中间,A - 一轨单点、三轨单点,1159703,43 + 0.0
,,"萤火","TFBOYS",非押爆,爆气,152,28,7,A - 一轨长条结尾,A - 一轨单点、三轨单点,1158112,43 - 0.3
,,"萤火","TFBOYS",非押爆,爆气,153,28,9,A - 三轨单点,A - 一轨单点、三轨单点,1156521,42 + 0.4
,,"萤火","TFBOYS",非押爆,爆气,154,28,20,A - 一轨单点,A - 一轨单点,1156521,42 + 0.4
,,"萤火","TFBOYS",非押爆,爆气,146,27,28,A - 一轨长条中间,A - 二轨单点、四轨单点,1155459,42 + 0.2
,,"萤火","TFBOYS",押爆,爆气,148,28,0,A - 一轨长条中间,A - 一轨单点、三轨单点,1162885,44 - 0.4
,,"萤火","TFBOYS",押爆,爆气,153,28,16,A - 三轨单点,A - 一轨单点,1161825,43 + 0.4
,,"萤火","TFBOYS",押爆,爆气,144,27,24,A - 一轨长条开始,A - 二轨单点、四轨单点,1160232,43 + 0.1
,,"萤火","TFBOYS",押爆,爆气,150,28,4,A - 一轨长条中间,A - 一轨单点、三轨单点,1159703,43 + 0.0
,,"萤火","TFBOYS",押爆,爆气,145,27,25,A - 一轨长条中间,A - 二轨单点、四轨单点,1158641,43 - 0.2
